event_year,mix,position,item
2027,standard,1,Rare (2027)
2027,standard,2,Uncommon (2027)
2027,standard,3,Monster Trophy
2027,standard,4,Mystery Chase Set (40)
2027,standard,5,Mystery Chase Set (20)
2027,standard,6,Mystery Treasure Chest Rare
2027,condensed,1,Monster Trophy
2027,condensed,2,Mystery Chase Set (40)
2027,condensed,3,Mystery Chase Set (20)
2027,condensed,4,Mystery Treasure Chest Rare
2027,condensed,5,Alchemist's Ink
2027,condensed,6,Alchemist's Parchment
2027,condensed,7,Darkwood Plank
2027,condensed,8,Dwarven Steel
2027,condensed,9,Enchanter's Munition
2027,condensed,10,Minotaur Hide
2027,condensed,11,Mystic Silk
2027,condensed,12,Philosopher's Stone
2027,condensed,13,Aragonite
2027,condensed,14,Elven Bismuth
2027,condensed,15,Oil of Enchantment
2027,condensed,16,"1,000 GP Gold Bar"
2027,pack_substitute,1,Alchemist's Ink
2027,pack_substitute,2,Alchemist's Parchment
2027,pack_substitute,3,Darkwood Plank
2027,pack_substitute,4,Dwarven Steel
2027,pack_substitute,5,Enchanter's Munition
2027,pack_substitute,6,Minotaur Hide
2027,pack_substitute,7,Mystic Silk
2027,pack_substitute,8,Philosopher's Stone
