name,external_slug,rarity,source_rarity,token_year,tokendb_source,in_standard_set,classification,slot,converts_to,convert_units
+1 Dawn Battle Axe,1-dawn-battle-axe,Rare,Rare,2026,Standard Pack,1,Equippable|Weapon,Mainhand,Aragonite,1
+1 Dawn Great Sword,1-dawn-great-sword,Rare,Rare,2026,Standard Pack,1,Equippable|Weapon,Mainhand,Aragonite,1
+1 Herald's Light Mace,1-heralds-light-mace,Rare,Rare,2026,Treasure Chest Only,0,Equippable|Weapon,Mainhand,Aragonite,1
+1 Herald's Sling,1-heralds-sling,Rare,Rare,2026,Treasure Chest Only,0,Equippable|Weapon,Mainhand,Aragonite,1
+1 Hunter Crossbow,1-hunter-crossbow,Rare,Rare,2026,Standard Pack,1,Equippable|Weapon,Mainhand,Aragonite,1
+1 Vampiric Hammer,1-vampiric-hammer,Rare,Rare,2026,Standard Pack,1,Equippable|Weapon,Mainhand,Aragonite,1
+1 Vampiric Short Sword,1-vampiric-short-sword,Rare,Rare,2026,Standard Pack,1,Equippable|Weapon,Mainhand,Aragonite,1
+2 Branding Mace,2-branding-mace,Ultra Rare,Ultra Rare,2026,Standard Pack,0,Equippable|Weapon,Mainhand,,
+2 Darkbane Crossbow,2-darkbane-crossbow,Ultra Rare,Ultra Rare,2026,Standard Pack,0,Equippable|Weapon,Mainhand,,
+3 Fellbane Crossbow,3-fellbane-crossbow,Relic,Transmuted-Relic (5 pt),2026,Exchange,0,Equippable|Weapon,Mainhand,,
100 GP Ritual Goblet,100-gp-ritual-goblet,Uncommon,Uncommon,2026,Standard Pack,1,GP Value,slotless,Reserve Bar,
"100,000 GP Mythic Ore Bar",100000-gp-mythic-ore-bar,,Reserve,2026,Exchange,0,GP Value|Timeless|Trade 5,slotless,Reserve Bar,
10x Treasure Chips,10x-treasure-chips,,Special,2026,Dungeon Only,0,none,slotless,,
150 GP Ritual Chalice,150-gp-ritual-chalice,Uncommon,Uncommon,2026,Standard Pack,1,GP Value,slotless,Reserve Bar,
3x Treasure Chips,3x-treasure-chips,,Special,2026,Dungeon Only,0,none,slotless,,
50 GP Sunrise Coin,50-gp-sunrise-coin,Common,Common,2026,Standard Pack,1,Gear|GP Value,slotless,Reserve Bar,
500 GP Ritual Bowl,500-gp-ritual-bowl,Rare,Rare,2026,Standard Pack,1,GP Value,slotless,Reserve Bar,
500 GP Ritual Censer,500-gp-ritual-censer,Rare,Rare,2026,Standard Pack,1,GP Value,slotless,Reserve Bar,
Amulet of Undeath,amulet-of-undeath,Rare,Rare,2026,Standard Pack,1,Equippable,Neck,Philosopher's Stone,6
Artificer Mystic Staff,artificer-mystic-staff,Uncommon,Uncommon,2026,Standard Pack,1,Equippable|Weapon,Mainhand,Elven Bismuth,1
Artificer Radiant Charm,artificer-radiant-charm,Uncommon,Uncommon,2026,Standard Pack,1,Equippable,Charm,Darkwood Plank,3
Artificer's Agility Pants,artificers-agility-pants,Rare,Rare,2026,Standard Pack,1,Equippable,Legs,Mystic Silk,6
Artificer's Probability Robe,artificers-probability-robe,Rare,Rare,2026,Standard Pack,1,Equippable,Torso (armor),Aragonite,1
Banshee Essence,banshee-essence,Monster Trophy,Quest,2026,Treasure Chest Only,0,Monster Trophy,slotless,Golden Fleece,1
Baton of Focus,baton-of-focus,Rare,Rare,2026,Standard Pack,1,Equippable|Weapon,Mainhand,Aragonite,1
Bead of Divine Choice,bead-of-divine-choice,Relic,Transmuted-Relic (5 pt),2026,Exchange,0,Equippable,Bead,,
Bead of Fanatic's Fate,bead-of-fanatics-fate,Uncommon,Uncommon,2026,Standard Pack,1,Equippable,Bead,Darkwood Plank,3
Bead of Foretelling,bead-of-foretelling,Rare,Rare,2026,Participation,0,Equippable,Bead,Darkwood Plank,6
Bead of Fortune,bead-of-fortune,Rare,Rare,2026,Standard Pack,1,Equippable,Bead,Darkwood Plank,6
Bead of the Artificer,bead-of-the-artificer,Rare,Rare,2026,Participation,0,Equippable,Bead,Darkwood Plank,6
Bead of the Bat,bead-of-the-bat,Rare,Rare,2026,Participation,0,Equippable,Bead,Darkwood Plank,6
Bead of the Buzzard,bead-of-the-buzzard,Rare,Rare,2026,Participation,0,Equippable,Bead,Darkwood Plank,6
Bead of the Golem,bead-of-the-golem,Rare,Rare,2026,Appreciation,0,Equippable,Bead,Darkwood Plank,6
Bead of the Rat,bead-of-the-rat,Rare,Rare,2026,Participation,0,Equippable,Bead,Darkwood Plank,6
Bead of the Viper,bead-of-the-viper,Rare,Rare,2026,Participation,0,Equippable,Bead,Darkwood Plank,6
Bead of the Wolf,bead-of-the-wolf,Rare,Rare,2026,Participation,0,Equippable,Bead,Darkwood Plank,6
Belt of Biting,belt-of-biting,Rare,Rare,2026,Volunteer Recognition,0,Equippable,Waist,Mystic Silk,6
Belt of Ogre Power,belt-of-ogre-power,Rare,Rare,2026,Standard Pack,1,Equippable,Waist,Mystic Silk,6
Belt of the Accursed,belt-of-the-accursed,Ultra Rare,Ultra Rare,2026,Standard Pack,0,Equippable,Waist,,
Boots of Grave's Reach,boots-of-graves-reach,Ultra Rare,Ultra Rare,2026,Standard Pack,0,Equippable,Feet,,
Bracers of Boosting,bracers-of-boosting,Ultra Rare,Ultra Rare,2026,Standard Pack,0,Equippable,Wrist,,
Censer of Divine Aid,censer-of-divine-aid,Exalted,Transmuted-Exalted (4 pt),2026,Exchange,0,Equippable,slotless,,
Charm of Banewatch,charm-of-banewatch,Ultra Rare,Ultra Rare,2026,Volunteer Recognition,0,Equippable,Charm,,
Charm of Deathward,charm-of-deathward,Exalted,Transmuted-Exalted (4 pt),2026,Exchange,0,Equippable,Charm,,
Charm of Fickle Fate,charm-of-fickle-fate,Ultra Rare,Ultra Rare,2026,Standard Pack,0,Equippable,Charm,,
Charm of Gravebane,charm-of-gravebane,Rare,Rare,2026,Standard Pack,1,Equippable,Charm,Darkwood Plank,6
Charm of Undeath,charm-of-undeath,Rare,Rare,2026,Standard Pack,1,Equippable,Charm,Darkwood Plank,6
Cloak of Hardy Luck,cloak-of-hardy-luck,Rare,Rare,2026,Standard Pack,1,Equippable,Back,Mystic Silk,6
Cloak of Swift Sneak,cloak-of-swift-sneak,Uncommon,Uncommon,2026,Standard Pack,1,Equippable,Back,Mystic Silk,3
Cloak of the Accursed,cloak-of-the-accursed,Ultra Rare,Ultra Rare,2026,Standard Pack,0,Equippable,Back,,
Cloak of the Order,cloak-of-the-order,Rare,Rare,2026,Treasure Chest Only,0,Equippable,Back,Mystic Silk,6
Craven Barbed Shirt,craven-barbed-shirt,Uncommon,Uncommon,2026,Standard Pack,1,Equippable,Shirt,Mystic Silk,3
Craven Crossbow,craven-crossbow,Uncommon,Uncommon,2026,Standard Pack,1,Equippable|Weapon,Mainhand,Elven Bismuth,1
Craven Shield,craven-shield,Common,Common,2026,Standard Pack,1,Equippable|Shield,Offhand,Minotaur Hide,1
Craven Spike Suit,craven-spike-suit,Rare,Rare,2026,Standard Pack,1,Equippable,Torso (armor),Aragonite,1
Craven Tyrant Armor,craven-tyrant-armor,Uncommon,Uncommon,2026,Standard Pack,1,Equippable,Torso (armor),Oil of Enchantment,1
Craven's Cursed Charm,cravens-cursed-charm,Rare,Rare,2026,Participation,0,Equippable,Charm,Darkwood Plank,6
Craven's Vampire Ring,cravens-vampire-ring,Legendary,Transmuted-Legendary,2026,Exchange,0,Equippable|Timeless,Finger,,
Dawn Battle Axe,dawn-battle-axe,Common,Common,2026,Standard Pack,1,Equippable|Weapon,Mainhand,Dwarven Steel,1
Dawn Belt,dawn-belt,Common,Common,2026,Standard Pack,1,Equippable,Waist,Mystic Silk,1
Dawn Boots,dawn-boots,Common,Common,2026,Standard Pack,1,Equippable,Feet,Mystic Silk,1
Dawn Boots of Lore,dawn-boots-of-lore,Rare,Rare,2026,Standard Pack,1,Equippable,Feet,Mystic Silk,6
Dawn Bow,dawn-bow,Common,Common,2026,Standard Pack,1,Equippable|Weapon,Mainhand,Dwarven Steel,1
Dawn Earcuff,dawn-earcuff,Common,Common,2026,Standard Pack,1,Equippable,Ear,Philosopher's Stone,1
Dawn Escort Armor,dawn-escort-armor,Uncommon,Uncommon,2026,Standard Pack,1,Equippable,Torso (armor),Oil of Enchantment,1
Dawn Gloves,dawn-gloves,Uncommon,Uncommon,2026,Standard Pack,1,Equippable,Hands,Mystic Silk,1
Dawn Greaves,dawn-greaves,Uncommon,Uncommon,2026,Standard Pack,1,Equippable,Shins,Mystic Silk,3
Dawn Guard Armor,dawn-guard-armor,Uncommon,Uncommon,2026,Standard Pack,1,Equippable,Torso (armor),Oil of Enchantment,1
Dawn Hammer,dawn-hammer,Common,Common,2026,Standard Pack,1,Equippable|Weapon,Mainhand,Dwarven Steel,1
Dawn Hardy Earcuff,dawn-hardy-earcuff,Rare,Rare,2026,Standard Pack,1,Equippable,Ear,Philosopher's Stone,6
Dawn Helm,dawn-helm,Common,Common,2026,Standard Pack,1,Equippable,Head,Minotaur Hide,1
Dawn Initiate Gloves,dawn-initiate-gloves,Common,Common,2026,Standard Pack,1,Equippable,Hands,Mystic Silk,1
Dawn Leather Armor,dawn-leather-armor,Common,Common,2026,Standard Pack,1,Equippable,Torso (armor),Minotaur Hide,1
Dawn Long Sword,dawn-long-sword,Common,Common,2026,Standard Pack,1,Equippable|Weapon,Mainhand,Dwarven Steel,1
Dawn Mace,dawn-mace,Common,Common,2026,Standard Pack,1,Equippable|Weapon,Mainhand,Dwarven Steel,1
Dawn Order Pants,dawn-order-pants,Uncommon,Uncommon,2026,Standard Pack,1,Equippable,Legs,Mystic Silk,3
Dawn Pilgrim Armor,dawn-pilgrim-armor,Common,Common,2026,Standard Pack,1,Equippable,Torso (armor),Minotaur Hide,1
Dawn Ritual Robe,dawn-ritual-robe,Common,Common,2026,Standard Pack,1,Equippable,Torso (armor),Minotaur Hide,1
Dawn Runestone,dawn-runestone,Uncommon,Uncommon,2026,Standard Pack,1,Equippable,Runestone,Darkwood Plank,3
Dawn Shield,dawn-shield,Common,Common,2026,Standard Pack,1,Equippable|Shield,Offhand,Minotaur Hide,1
Dawn Shirt,dawn-shirt,Rare,Rare,2026,Standard Pack,1,Equippable,Shirt,Mystic Silk,6
Dawn Short Sword,dawn-short-sword,Common,Common,2026,Standard Pack,1,Equippable|Weapon,Mainhand,Dwarven Steel,1
Dawn Staff of Focus,dawn-staff-of-focus,Rare,Rare,2026,Standard Pack,1,Equippable|Weapon,Mainhand,Aragonite,1
Dawn Strike Sword,dawn-strike-sword,Uncommon,Uncommon,2026,Standard Pack,1,Equippable|Weapon,Mainhand,Elven Bismuth,1
Dawn Sturdy Leather,dawn-sturdy-leather,Common,Common,2026,Standard Pack,1,Equippable,Torso (armor),Minotaur Hide,1
Dawn War Club,dawn-war-club,Uncommon,Uncommon,2026,Standard Pack,1,Equippable|Weapon,Mainhand,Elven Bismuth,1
Deathward Greaves,deathward-greaves,Arcanum,Transmuted-Arcanum Relic,2026,Exchange,0,Equippable,Shins,,
Dire Werewolf Fang,dire-werewolf-fang,Monster Trophy,Quest,2026,Treasure Chest Only,0,Monster Trophy,slotless,Golden Fleece,1
Divine Water,divine-water,Enhanced,Transmuted-Enhanced (3 pt),2026,Exchange,0,Liquid|Weapon,slotless,,
Drake's Draught,drakes-draught,Rare,Rare,2026,Appreciation,0,Liquid,slotless,Alchemist's Ink,6
Earcuff of Greater Glory,earcuff-of-greater-glory,Relic,Transmuted-Relic (5 pt),2026,Exchange,0,Equippable,Ear,,
Earcuff of the Accursed,earcuff-of-the-accursed,Ultra Rare,Ultra Rare,2026,Standard Pack,0,Equippable,Ear,,
Figurine of Power: Deva,figurine-of-power-deva,Common,Common,2026,Standard Pack,1,Equippable,Figurine,Darkwood Plank,1
Figurine of Power: Herald,figurine-of-power-herald,Rare,Rare,2026,Treasure Chest Only,0,Equippable,Figurine,Darkwood Plank,6
Figurine of Power: Pilgrim,figurine-of-power-pilgrim,Ultra Rare,Ultra Rare,2026,Standard Pack,0,Equippable,Figurine,,
Figurine of Power: Varghoul,figurine-of-power-varghoul,Rare,Rare,2026,Standard Pack,1,Equippable,Figurine,Darkwood Plank,6
Gargoyle Finger,gargoyle-finger,Monster Trophy,Quest,2026,Treasure Chest Only,0,Monster Trophy,slotless,Golden Fleece,1
Gear Golem Totem,gear-golem-totem,Legendary,Transmuted-Legendary,2026,Exchange,0,Equippable|Timeless,slotless,,
Gloves of Infamy,gloves-of-infamy,Exalted,Transmuted-Exalted (4 pt),2026,Exchange,0,Equippable,Hands,,
Gloves of the Order,gloves-of-the-order,Rare,Rare,2026,Treasure Chest Only,0,Equippable,Hands,Mystic Silk,6
Gloves of Valor,gloves-of-valor,Rare,Rare,2026,Standard Pack,1,Equippable,Hands,Mystic Silk,6
Goblet of Saintly Surge,goblet-of-saintly-surge,Ultra Rare,Ultra Rare,2026,Standard Pack,0,Equippable,slotless,,
Golden Ticket,golden-ticket,,Special,2026,Standard Pack,0,none,slotless,,
Golem 1st Finger,golem-1st-finger,,Quest,2026,Treasure Chest Only,0,none,slotless,Darkwood Plank,1
Golem 1st Thumb,golem-1st-thumb,,Quest,2026,Treasure Chest Only,0,none,slotless,Darkwood Plank,1
Golem 2nd Finger,golem-2nd-finger,,Quest,2026,Treasure Chest Only,0,none,slotless,Darkwood Plank,1
Golem 2nd Thumb,golem-2nd-thumb,,Quest,2026,Treasure Chest Only,0,none,slotless,Darkwood Plank,1
Golem 3rd Finger,golem-3rd-finger,,Quest,2026,Treasure Chest Only,0,none,slotless,Darkwood Plank,1
Golem 4th Finger,golem-4th-finger,,Quest,2026,Treasure Chest Only,0,none,slotless,Darkwood Plank,1
Golem 5th Finger,golem-5th-finger,,Quest,2026,Treasure Chest Only,0,none,slotless,Darkwood Plank,1
Golem 6th Finger,golem-6th-finger,,Quest,2026,Treasure Chest Only,0,none,slotless,Darkwood Plank,1
Golem 7th Finger,golem-7th-finger,,Quest,2026,Treasure Chest Only,0,none,slotless,Darkwood Plank,1
Golem 8th Finger,golem-8th-finger,,Quest,2026,Treasure Chest Only,0,none,slotless,Darkwood Plank,1
Golem Bolt (2026),golem-bolt-2026,Monster Trophy,Quest,2026,Treasure Chest Only,0,Monster Trophy,slotless,Golden Fleece,1
Golem Brain,golem-brain,,Quest,2026,Treasure Chest Only,0,none,slotless,Darkwood Plank,1
Golem Chest,golem-chest,,Quest,2026,Treasure Chest Only,0,none,slotless,Darkwood Plank,1
Golem Heart,golem-heart,,Quest,2026,Treasure Chest Only,0,none,slotless,Darkwood Plank,1
Golem Left Ankle,golem-left-ankle,,Quest,2026,Treasure Chest Only,0,none,slotless,Darkwood Plank,1
Golem Left Arm,golem-left-arm,,Quest,2026,Treasure Chest Only,0,none,slotless,Darkwood Plank,1
Golem Left Ear,golem-left-ear,,Quest,2026,Treasure Chest Only,0,none,slotless,Darkwood Plank,1
Golem Left Eye,golem-left-eye,,Quest,2026,Treasure Chest Only,0,none,slotless,Darkwood Plank,1
Golem Left Foot,golem-left-foot,,Quest,2026,Treasure Chest Only,0,none,slotless,Darkwood Plank,1
Golem Left Knee,golem-left-knee,,Quest,2026,Treasure Chest Only,0,none,slotless,Darkwood Plank,1
Golem Left Palm,golem-left-palm,,Quest,2026,Treasure Chest Only,0,none,slotless,Darkwood Plank,1
Golem Left Shin,golem-left-shin,,Quest,2026,Treasure Chest Only,0,none,slotless,Darkwood Plank,1
Golem Left Shoulder,golem-left-shoulder,,Quest,2026,Treasure Chest Only,0,none,slotless,Darkwood Plank,1
Golem Left Thigh,golem-left-thigh,,Quest,2026,Treasure Chest Only,0,none,slotless,Darkwood Plank,1
Golem Left Wrist,golem-left-wrist,,Quest,2026,Treasure Chest Only,0,none,slotless,Darkwood Plank,1
Golem Mouth,golem-mouth,,Quest,2026,Treasure Chest Only,0,none,slotless,Darkwood Plank,1
Golem Neck,golem-neck,,Quest,2026,Treasure Chest Only,0,none,slotless,Darkwood Plank,1
Golem Nose,golem-nose,,Quest,2026,Treasure Chest Only,0,none,slotless,Darkwood Plank,1
Golem Power Cell,golem-power-cell,,Quest,2026,Treasure Chest Only,0,none,slotless,Darkwood Plank,1
Golem Right Ankle,golem-right-ankle,,Quest,2026,Treasure Chest Only,0,none,slotless,Darkwood Plank,1
Golem Right Arm,golem-right-arm,,Quest,2026,Treasure Chest Only,0,none,slotless,Darkwood Plank,1
Golem Right Ear,golem-right-ear,,Quest,2026,Treasure Chest Only,0,none,slotless,Darkwood Plank,1
Golem Right Eye,golem-right-eye,,Quest,2026,Treasure Chest Only,0,none,slotless,Darkwood Plank,1
Golem Right Foot,golem-right-foot,,Quest,2026,Treasure Chest Only,0,none,slotless,Darkwood Plank,1
Golem Right Knee,golem-right-knee,,Quest,2026,Treasure Chest Only,0,none,slotless,Darkwood Plank,1
Golem Right Palm,golem-right-palm,,Quest,2026,Treasure Chest Only,0,none,slotless,Darkwood Plank,1
Golem Right Shin,golem-right-shin,,Quest,2026,Treasure Chest Only,0,none,slotless,Darkwood Plank,1
Golem Right Shoulder,golem-right-shoulder,,Quest,2026,Treasure Chest Only,0,none,slotless,Darkwood Plank,1
Golem Right Thigh,golem-right-thigh,,Quest,2026,Treasure Chest Only,0,none,slotless,Darkwood Plank,1
Golem Right Wrist,golem-right-wrist,,Quest,2026,Treasure Chest Only,0,none,slotless,Darkwood Plank,1
Golem Thorax,golem-thorax,,Quest,2026,Treasure Chest Only,0,none,slotless,Darkwood Plank,1
Grave Fate Card,grave-fate-card,Common,Common,2026,Standard Pack,1,Equippable,slotless,Darkwood Plank,1
Greaves of Diffusion,greaves-of-diffusion,Ultra Rare,Ultra Rare,2026,Standard Pack,0,Equippable,Shins,,
Greaves of the Growler,greaves-of-the-growler,Rare,Rare,2026,Standard Pack,1,Equippable,Shins,Mystic Silk,6
Half-Plate of the Deft,half-plate-of-the-deft,Rare,Rare,2026,Standard Pack,1,Equippable,Torso (armor),Aragonite,1
Hat of Critical Thinking,hat-of-critical-thinking,Ultra Rare,Ultra Rare,2026,Standard Pack,0,Equippable,Head,,
Helm of the Wise,helm-of-the-wise,Rare,Rare,2026,Standard Pack,1,Equippable,Head,Aragonite,1
Herald's Amulet,heralds-amulet,Rare,Rare,2026,Treasure Chest Only,0,Equippable,Neck,Philosopher's Stone,6
Herald's Bead,heralds-bead,Rare,Rare,2026,Treasure Chest Only,0,Equippable,Bead,Darkwood Plank,6
Herald's Belt,heralds-belt,Rare,Rare,2026,Treasure Chest Only,0,Equippable,Waist,Mystic Silk,6
Herald's Boots,heralds-boots,Rare,Rare,2026,Treasure Chest Only,0,Equippable,Feet,Mystic Silk,6
Herald's Bracers,heralds-bracers,Rare,Rare,2026,Treasure Chest Only,0,Equippable,Wrist,Mystic Silk,6
Herald's Charm,heralds-charm,Rare,Rare,2026,Treasure Chest Only,0,Equippable,Charm,Darkwood Plank,6
Herald's Cloak,heralds-cloak,Rare,Rare,2026,Treasure Chest Only,0,Equippable,Back,Mystic Silk,6
Herald's Earcuff,heralds-earcuff,Rare,Rare,2026,Treasure Chest Only,0,Equippable,Ear,Philosopher's Stone,6
Herald's Gloves,heralds-gloves,Rare,Rare,2026,Treasure Chest Only,0,Equippable,Hands,Mystic Silk,6
Herald's Greaves,heralds-greaves,Rare,Rare,2026,Treasure Chest Only,0,Equippable,Shins,Mystic Silk,6
Herald's Hat,heralds-hat,Rare,Rare,2026,Treasure Chest Only,0,Equippable,Head,Mystic Silk,6
Herald's Horn,heralds-horn,Rare,Rare,2026,Treasure Chest Only,0,Equippable|No Party Card Effect,slotless,Darkwood Plank,6
Herald's Kilt,heralds-kilt,Rare,Rare,2026,Treasure Chest Only,0,Equippable,Legs,Mystic Silk,6
Herald's Ring,heralds-ring,Rare,Rare,2026,Treasure Chest Only,0,Equippable,Finger,Philosopher's Stone,6
Herald's Ring of Focus,heralds-ring-of-focus,Relic,Transmuted-Relic (5 pt),2026,Exchange,0,Equippable,Finger,,
Herald's Ring of Wrath,heralds-ring-of-wrath,Relic,Transmuted-Relic (5 pt),2026,Exchange,0,Equippable,Finger,,
Herald's Spectacles,heralds-spectacles,Rare,Rare,2026,Treasure Chest Only,0,Equippable,Eyes,Darkwood Plank,6
Herald's Vestments,heralds-vestments,Rare,Rare,2026,Treasure Chest Only,0,Equippable,Torso (armor),Aragonite,1
Holy Water,holy-water,Common,Common,2026,Standard Pack,1,Liquid|Weapon,slotless,Dwarven Steel,1
Hunter Crossbow,hunter-crossbow,Common,Common,2026,Standard Pack,1,Equippable|Weapon,Mainhand,Dwarven Steel,1
Incense of Focus,incense-of-focus,Exalted,Transmuted-Exalted (4 pt),2026,Exchange,0,Equippable,slotless,,
Incense of Might,incense-of-might,Exalted,Transmuted-Exalted (4 pt),2026,Exchange,0,Equippable,slotless,,
Incense of Power,incense-of-power,Enhanced,Transmuted-Enhanced (3 pt),2026,Exchange,0,Equippable,slotless,,
Incense of the Magi,incense-of-the-magi,Enhanced,Transmuted-Enhanced (3 pt),2026,Exchange,0,Equippable,slotless,,
Ioun Stone Beryl Prism,ioun-stone-beryl-prism,Rare,Rare,2026,Standard Pack,1,Equippable,Ioun Stone,Darkwood Plank,6
Ioun Stone Citrine Orb,ioun-stone-citrine-orb,Common,Common,2026,Standard Pack,1,Equippable,Ioun Stone,Darkwood Plank,1
Ioun Stone Herald's Orb,ioun-stone-heralds-orb,Rare,Rare,2026,Treasure Chest Only,0,Equippable,Ioun Stone,Darkwood Plank,6
Ioun Stone Moonstone Orb,ioun-stone-moonstone-orb,Ultra Rare,Ultra Rare,2026,Standard Pack,0,Equippable,Ioun Stone,,
