event_year,good,source_rarity,source_count,source
2026,Alchemist's Ink,Common,2,tokendb
2026,Alchemist's Ink,Uncommon,1,owner
2026,Alchemist's Ink,Rare,2,owner
2026,Alchemist's Parchment,Common,3,tokendb
2026,Alchemist's Parchment,Uncommon,3,owner
2026,Alchemist's Parchment,Rare,2,owner
2026,Aragonite,Common,0,tokendb
2026,Aragonite,Uncommon,0,owner
2026,Aragonite,Rare,12,owner
2026,Darkwood Plank,Common,7,tokendb
2026,Darkwood Plank,Uncommon,6,owner
2026,Darkwood Plank,Rare,10,owner
2026,Dwarven Steel,Common,12,tokendb
2026,Dwarven Steel,Uncommon,0,owner
2026,Dwarven Steel,Rare,0,owner
2026,Elven Bismuth,Common,0,tokendb
2026,Elven Bismuth,Uncommon,5,owner
2026,Elven Bismuth,Rare,0,owner
2026,Enchanter's Munition,Common,1,tokendb
2026,Enchanter's Munition,Uncommon,1,owner
2026,Enchanter's Munition,Rare,1,owner
2026,Minotaur Hide,Common,7,tokendb
2026,Minotaur Hide,Uncommon,0,owner
2026,Minotaur Hide,Rare,0,owner
2026,Mystic Silk,Common,4,tokendb
2026,Mystic Silk,Uncommon,6,owner
2026,Mystic Silk,Rare,8,owner
2026,Oil of Enchantment,Common,0,tokendb
2026,Oil of Enchantment,Uncommon,5,owner
2026,Oil of Enchantment,Rare,0,owner
2026,Philosopher's Stone,Common,3,tokendb
2026,Philosopher's Stone,Uncommon,11,owner
2026,Philosopher's Stone,Rare,3,owner
2027,Alchemist's Ink,Common,1,tokendb
2027,Alchemist's Ink,Uncommon,2,owner
2027,Alchemist's Ink,Rare,3,owner
2027,Alchemist's Parchment,Common,3,tokendb
2027,Alchemist's Parchment,Uncommon,3,owner
2027,Alchemist's Parchment,Rare,2,owner
2027,Aragonite,Common,0,tokendb
2027,Aragonite,Uncommon,0,owner
2027,Aragonite,Rare,11,owner
2027,Darkwood Plank,Common,5,tokendb
2027,Darkwood Plank,Uncommon,8,owner
2027,Darkwood Plank,Rare,8,owner
2027,Dwarven Steel,Common,12,tokendb
2027,Dwarven Steel,Uncommon,0,owner
2027,Dwarven Steel,Rare,0,owner
2027,Elven Bismuth,Common,0,tokendb
2027,Elven Bismuth,Uncommon,7,owner
2027,Elven Bismuth,Rare,0,owner
2027,Enchanter's Munition,Common,1,tokendb
2027,Enchanter's Munition,Uncommon,1,owner
2027,Enchanter's Munition,Rare,1,owner
2027,Minotaur Hide,Common,7,tokendb
2027,Minotaur Hide,Uncommon,0,owner
2027,Minotaur Hide,Rare,0,owner
2027,Mystic Silk,Common,6,tokendb
2027,Mystic Silk,Uncommon,7,owner
2027,Mystic Silk,Rare,7,owner
2027,Oil of Enchantment,Common,0,tokendb
2027,Oil of Enchantment,Uncommon,7,owner
2027,Oil of Enchantment,Rare,0,owner
2027,Philosopher's Stone,Common,4,tokendb
2027,Philosopher's Stone,Uncommon,3,owner
2027,Philosopher's Stone,Rare,6,owner
